Nr_Doors
Luggagerack_final
Capacity_final
Speedometer_final
WeightOwn_final
Nr_Person_gr
Rating_gr
WeightTotal_final
Flag_Guarantee
Performance_kW_final
Performance_LE_final
Age_final
Age_year_final
Flag_first_w
Flag_back_w
Flag_diesel
Flag_benzin
Flag_electro
Flag_Condition
A
B
C
D
E
F
S
SUV
OPEL
VOLKSWAGEN
BMW
FORD
MERCEDES-BENZ
AUDI
RENAULT
TOYOTA
SKODA
PEUGEOT
MAZDA
SUZUKI
FIAT
CITROEN
NISSAN
HONDA
VOLVO
SEAT
HYUNDAI
KIA
MITSUBISHI
ALFA ROMEO
CHEVROLET
DAEWOO
DACIA
CHRYSLER
SMART
LADA
LAND ROVER
MINI
LEXUS
SUBARU
LANCIA
JAGUAR
SAAB
JEEP
PORSCHE
ROVER
DAIHATSU
SSANGYONG
PriceEUR
